"Alcohol Level (ABV)","Winery","Name","Vintage","Country","Region","Colour of Wine","Blend","Grape Types","Ratings","Number of Ratings","Price","Body (Light-Bold)","Tannins (Smooth-Tannic)","Sweetness (Dry-Sweet)","Acidity (Soft-Acidic)","Description","Flavor Notes","Food Pairings","Wine Tastes"
"14.5","San Marzano","62 Anniversario Primitivo di Manduria Riserva","2018","Italy","Primitivo di Manduria","Red wine","Primitivo","Unknown Grape Types","4.3","1911","34.99","20.0","20.0","20.0","20.0","No Description Available","vanilla, oak, chocolate | 1454mentions ofoakynotes; plum, blackberry, jam | 1212mentions ofblack fruitnotes; cherry, red fruit, rasp... | 500mentions ofred fruitnotes; leather, cocoa, smoke | 313mentions ofearthynotes; prune, raisin, fig | 194mentions ofdried fruitnotes; pepper, licorice, cinna... | 188mentions ofspicesnotes; cheese, cream, oil | 46mentions ofyeastynotes; almond, toast, walnut | 40mentions ofageingnotes; violet, hibiscus, perfu... | 33mentions offloralnotes; straw, tomato, rhubarb | 14mentions ofvegetalnotes; orange peel, marmalade,... | 13mentions ofcitrusnotes; stone fruit, quince, ap... | 8mentions oftree fruitnotes; mango | 1mentions oftropicalnotes","Beef, Veal, Poultry, Game","vanilla, oak, chocolate | 1454mentions ofoakynotes; plum, blackberry, jam | 1212mentions ofblack fruitnotes; cherry, red fruit, rasp... | 500mentions ofred fruitnotes; leather, cocoa, smoke | 313mentions ofearthynotes; prune, raisin, fig | 194mentions ofdried fruitnotes; pepper, licorice, cinna... | 188mentions ofspicesnotes; cheese, cream, oil | 46mentions ofyeastynotes; almond, toast, walnut | 40mentions ofageingnotes; violet, hibiscus, perfu... | 33mentions offloralnotes; straw, tomato, rhubarb | 14mentions ofvegetalnotes; orange peel, marmalade,... | 13mentions ofcitrusnotes; stone fruit, quince, ap... | 8mentions oftree fruitnotes; mango | 1mentions oftropicalnotes"
"15.0","Guerrieri","Guerriero della Terra","2021","Italy","Vino d'Italia","Red wine","Blend","Sangiovese, Montepulciano","4.3","717","29.99","20.0","20.0","20.0","20.0","Made Only in the Best Years and From the Best Vines, This 2020 Guerrieri Red is the Newest Release of Vivino's Best Central Italy Red of 2019.If the past is truly a pretext, then this one is going to move fast. The newest release of Guerriero della Terra Marche, Vivino’s Best Central Italy Red of 2019 is here. Sporting more than 7,000 rave reviews for all vintages, Guerrieri’s 2020 rendition is taking Vivino users by storm. This Sangiovese-based red is made only from Guerrieri’s best vines, and only in the best vintages. And pretty much everyone loves it. You will too.The Guerrieri family has been farming in central Italy for seven generations, embodying the values of their ancestors by treating the land with simplicity, respect, sustainability, and solidarity. Located on the eastern bank of the Metauro River, and only a short distance from the Adriatic, the Guerrieri’s cultivate their estate in time-honored, traditional ways, using the gifts of Mother Nature to craft fine pasta, olive oil, honey, and—of course—delicious wines.read more","vanilla, oak, chocolate | 728mentions ofoakynotes; plum, blackberry, jam | 609mentions ofblack fruitnotes; cherry, raspberry, red ... | 301mentions ofred fruitnotes; leather, honey, balsami... | 167mentions ofearthynotes; licorice, pepper, cinna... | 87mentions ofspicesnotes; raisin, fig, prune | 79mentions ofdried fruitnotes; cheese, cream, cheesy | 36mentions ofyeastynotes; violet, lavender, perfu... | 28mentions offloralnotes; marmalade, citrus, oran... | 15mentions ofcitrusnotes; brown sugar, almond, dr... | 12mentions ofageingnotes; pear, peach, apricot ja... | 12mentions oftree fruitnotes; fruit cup, tamarind, gr... | 5mentions oftropicalnotes; tomato, grass, asparagu... | 4mentions ofvegetalnotes","Beef, Veal, Poultry, Game","vanilla, oak, chocolate | 728mentions ofoakynotes; plum, blackberry, jam | 609mentions ofblack fruitnotes; cherry, raspberry, red ... | 301mentions ofred fruitnotes; leather, honey, balsami... | 167mentions ofearthynotes; licorice, pepper, cinna... | 87mentions ofspicesnotes; raisin, fig, prune | 79mentions ofdried fruitnotes; cheese, cream, cheesy | 36mentions ofyeastynotes; violet, lavender, perfu... | 28mentions offloralnotes; marmalade, citrus, oran... | 15mentions ofcitrusnotes; brown sugar, almond, dr... | 12mentions ofageingnotes; pear, peach, apricot ja... | 12mentions oftree fruitnotes; fruit cup, tamarind, gr... | 5mentions oftropicalnotes; tomato, grass, asparagu... | 4mentions ofvegetalnotes"
"13.5","Tormaresca","Primitivo Salento Torcicoda","2021","Italy","Salento","Red wine","Primitivo","Unknown Grape Types","4.2","1575","17.99","20.0","20.0","20.0","20.0","Tormaresca Primitivo Salento Torcicoda 2021is a masterpiece from the legendary Antinori family, whose 600+ years of winemaking excellence brought us icons like Tignanello.This 4.2-star Primitivo, rated by over 1,400 Vivino users, is a wine lover’s dream: rich notes of mocha, blackberry jam, and stewed prunes mingle with cedar, tobacco, and vanilla for a velvety finish. At15.5% ABV, its intensity and complexity rival much pricier wines.What Vivino Users Say:“Raspberries and essence of raisin... sledgehammer gravity. Almost seems an Amarone!”— Thomas L.“Smooth, deep, and complex!”— Rumi Y.“Plum, blackberry jam, and raisins complemented by oak, tobacco, and vanilla.”— Roma R.This Primitivo is a steal at—an accessible slice of Antinori’s enduring winemaking legacy.","oak, vanilla, tobacco | 1343mentions ofoakynotes; plum, blackberry, dark ... | 1159mentions ofblack fruitnotes; cherry, red fruit, rasp... | 593mentions ofred fruitnotes; earthy, leather, smoke | 387mentions ofearthynotes; pepper, licorice, cinna... | 306mentions ofspicesnotes; raisin, prune, fig | 174mentions ofdried fruitnotes; cheese, cream, oil | 53mentions ofyeastynotes; dried fig, toast, almon... | 38mentions ofageingnotes; tomato, hay, grass | 24mentions ofvegetalnotes; violet, lavender, rose ... | 24mentions offloralnotes; apple, peach, apricot | 17mentions oftree fruitnotes; orange, orange peel, li... | 15mentions ofcitrusnotes; pineapple, passion frui... | 4mentions oftropicalnotes","Beef, Veal, Poultry, Game","oak, vanilla, tobacco | 1343mentions ofoakynotes; plum, blackberry, dark ... | 1159mentions ofblack fruitnotes; cherry, red fruit, rasp... | 593mentions ofred fruitnotes; earthy, leather, smoke | 387mentions ofearthynotes; pepper, licorice, cinna... | 306mentions ofspicesnotes; raisin, prune, fig | 174mentions ofdried fruitnotes; cheese, cream, oil | 53mentions ofyeastynotes; dried fig, toast, almon... | 38mentions ofageingnotes; tomato, hay, grass | 24mentions ofvegetalnotes; violet, lavender, rose ... | 24mentions offloralnotes; apple, peach, apricot | 17mentions oftree fruitnotes; orange, orange peel, li... | 15mentions ofcitrusnotes; pineapple, passion frui... | 4mentions oftropicalnotes"
"15.5","Antolini","Morópio Amarone della Valpolicella Classico","2021","Italy","Amarone della Valpolicella Classico","Red wine","Blend","Corvinone, Corvina, Rondinella","4.3","47","39.99","20.0","20.0","20.0","20.0","Antolini’s Amarone Classico 2021 has'classic' written all over it, and we’re not just talking about the label.The level of detail that brothers Pier Paolo and Stefano have put into the crafting of this red from the ground up is nothing short of extraordinary.Grown on prime clay soils at elevations of over 1,100 feet, fruit from their 1970 vine plantings is carefully cultivated in a double Veronese pergola training that works in harmony with their vineyards’ natural surroundings. No irrigation, no chemical fertilizers, no pesticides – just generations of good, old-fashioned Italian farming know-how.And that’s all long before the grapes are carefully harvested and dried for up to 120 days before the winemaking even begins. This plush, smooth, powerful and flavor-packed Amarone gets top-shelf treatment all the way and we're bringing this boutique classic straight to your door for less than half top-shelf price.read more","chocolate, vanilla, oak | 145mentions ofoakynotes; plum, blackberry, dark ... | 98mentions ofblack fruitnotes; cherry, raspberry, stra... | 78mentions ofred fruitnotes; raisin, prune, fig | 58mentions ofdried fruitnotes; leather, smoke, honey | 52mentions ofearthynotes; cinnamon, licorice, min... | 28mentions ofspicesnotes; chestnut, nutty, dried ... | 13mentions ofageingnotes; cheese, cream, yeast | 9mentions ofyeastynotes; gooseberry, tomato, bit... | 5mentions ofvegetalnotes; violet, lavender | 4mentions offloralnotes; marmalade, orange | 2mentions ofcitrusnotes; apple | 1mentions oftree fruitnotes","Beef, Veal, Poultry, Game","chocolate, vanilla, oak | 145mentions ofoakynotes; plum, blackberry, dark ... | 98mentions ofblack fruitnotes; cherry, raspberry, stra... | 78mentions ofred fruitnotes; raisin, prune, fig | 58mentions ofdried fruitnotes; leather, smoke, honey | 52mentions ofearthynotes; cinnamon, licorice, min... | 28mentions ofspicesnotes; chestnut, nutty, dried ... | 13mentions ofageingnotes; cheese, cream, yeast | 9mentions ofyeastynotes; gooseberry, tomato, bit... | 5mentions ofvegetalnotes; violet, lavender | 4mentions offloralnotes; marmalade, orange | 2mentions ofcitrusnotes; apple | 1mentions oftree fruitnotes"
"13.5","Francois Villard","Viognier Les Contours de Deponcins","2022","France","Collines Rhodaniennes","White wine","Viognier","Viognier","4.2","230","39.1","20.0","","20.0","20.0","No Description Available","apricot, peach, pear | 279mentions oftree fruitnotes; honey, minerals, stone | 139mentions ofearthynotes; butter, oak, vanilla | 79mentions ofoakynotes; tropical, pineapple, ly... | 68mentions oftropicalnotes; cream, oil, banana | 63mentions ofyeastynotes; citrus, lemon, grapefru... | 62mentions ofcitrusnotes; honeysuckle, perfume, j... | 42mentions offloralnotes; white pepper, pepper, s... | 21mentions ofspicesnotes; straw, grass, gooseberr... | 15mentions ofvegetalnotes; nutty, hazelnut, walnut | 13mentions ofageingnotes; dried apricot, dried ma... | 4mentions ofdried fruitnotes; cherry, raspberry | 2mentions ofred fruitnotes; plum | 1mentions ofblack fruitnotes","Beef, Veal, Poultry, Game","apricot, peach, pear | 279mentions oftree fruitnotes; honey, minerals, stone | 139mentions ofearthynotes; butter, oak, vanilla | 79mentions ofoakynotes; tropical, pineapple, ly... | 68mentions oftropicalnotes; cream, oil, banana | 63mentions ofyeastynotes; citrus, lemon, grapefru... | 62mentions ofcitrusnotes; honeysuckle, perfume, j... | 42mentions offloralnotes; white pepper, pepper, s... | 21mentions ofspicesnotes; straw, grass, gooseberr... | 15mentions ofvegetalnotes; nutty, hazelnut, walnut | 13mentions ofageingnotes; dried apricot, dried ma... | 4mentions ofdried fruitnotes; cherry, raspberry | 2mentions ofred fruitnotes; plum | 1mentions ofblack fruitnotes"
"51.0","Patrick Piuze","Terroir de Fleys Chablis","2023","France","Chablis","White wine","Chardonnay","Chardonnay","4.2","0","45.05","20.0","","20.0","20.0","No Description Available","citrus, grapefruit, lem... | 28mentions ofcitrusnotes; minerals, stone, salt | 22mentions ofearthynotes; green apple, apple, apr... | 19mentions oftree fruitnotes; oak, butter, caramel | 15mentions ofoakynotes; oil, fresh bread, yogur... | 7mentions ofyeastynotes; hay, gooseberry | 4mentions ofvegetalnotes; pineapple | 1mentions oftropicalnotes; honeysuckle | 1mentions offloralnotes","Beef, Veal, Poultry, Game","citrus, grapefruit, lem... | 28mentions ofcitrusnotes; minerals, stone, salt | 22mentions ofearthynotes; green apple, apple, apr... | 19mentions oftree fruitnotes; oak, butter, caramel | 15mentions ofoakynotes; oil, fresh bread, yogur... | 7mentions ofyeastynotes; hay, gooseberry | 4mentions ofvegetalnotes; pineapple | 1mentions oftropicalnotes; honeysuckle | 1mentions offloralnotes"
"13.5","Château de Sancerre","Cuvée du Connetable Sancerre","2021","France","Sancerre","White wine","Sauvignon Blanc","Sauvignon Blanc","4.3","277","49.95","20.0","","20.0","20.0","No Description Available","citrus, grapefruit, lem... | 235mentions ofcitrusnotes; pear, peach, apple | 195mentions oftree fruitnotes; minerals, honey, stone | 163mentions ofearthynotes; oak, butter, vanilla | 52mentions ofoakynotes; gooseberry, grass, stra... | 39mentions ofvegetalnotes; cream, oil, cheese | 24mentions ofyeastynotes; pineapple, tropical, ki... | 23mentions oftropicalnotes; honeysuckle, perfume, j... | 13mentions offloralnotes; savory, white pepper, m... | 10mentions ofspicesnotes; toast, nutty, almond | 5mentions ofageingnotes; plum, blackcurrant | 5mentions ofblack fruitnotes; strawberry, cranberry, ... | 4mentions ofred fruitnotes; raisin | 1mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","citrus, grapefruit, lem... | 235mentions ofcitrusnotes; pear, peach, apple | 195mentions oftree fruitnotes; minerals, honey, stone | 163mentions ofearthynotes; oak, butter, vanilla | 52mentions ofoakynotes; gooseberry, grass, stra... | 39mentions ofvegetalnotes; cream, oil, cheese | 24mentions ofyeastynotes; pineapple, tropical, ki... | 23mentions oftropicalnotes; honeysuckle, perfume, j... | 13mentions offloralnotes; savory, white pepper, m... | 10mentions ofspicesnotes; toast, nutty, almond | 5mentions ofageingnotes; plum, blackcurrant | 5mentions ofblack fruitnotes; strawberry, cranberry, ... | 4mentions ofred fruitnotes; raisin | 1mentions ofdried fruitnotes"
"51.0","Alexandre Giquel","Multitude","2022","France","Loire Valley","White wine","Chenin Blanc","Chenin Blanc","4.3","0","40.0","20.0","","20.0","20.0","No Description Available","No Flavor Notes","Beef, Veal, Poultry, Game","No Wine Tastes"
"51.0","Domaine de Chevilly","Cuvée Zoé Quincy","2021","France","Quincy","White wine","Sauvignon Blanc","Sauvignon Blanc","4.3","0","30.94","20.0","","20.0","20.0","No Description Available","grapefruit, lemon | 2mentions ofcitrusnotes; pear, apricot | 2mentions oftree fruitnotes; citrus blossom, orange ... | 2mentions offloralnotes","Beef, Veal, Poultry, Game","grapefruit, lemon | 2mentions ofcitrusnotes; pear, apricot | 2mentions oftree fruitnotes; citrus blossom, orange ... | 2mentions offloralnotes"
"12.5","Château de Respide","Callipyge Graves Blanc","2021","France","Graves","White wine","Sauvignon Blanc","Unknown Grape Types","4.4","87","26.99","20.0","","20.0","20.0","No Description Available","citrus, lemon, tangerin... | 15mentions ofcitrusnotes; oak, vanilla, coconut | 12mentions ofoakynotes; apple, pear, green appl... | 8mentions oftree fruitnotes; toast, almond, nutty | 5mentions ofageingnotes; honey, minerals | 4mentions ofearthynotes; orange blossom, elderfl... | 4mentions offloralnotes; cream, cheese | 3mentions ofyeastynotes; kiwi, tropical | 2mentions oftropicalnotes; pepper | 1mentions ofspicesnotes; hay | 1mentions ofvegetalnotes","Beef, Veal, Poultry, Game","citrus, lemon, tangerin... | 15mentions ofcitrusnotes; oak, vanilla, coconut | 12mentions ofoakynotes; apple, pear, green appl... | 8mentions oftree fruitnotes; toast, almond, nutty | 5mentions ofageingnotes; honey, minerals | 4mentions ofearthynotes; orange blossom, elderfl... | 4mentions offloralnotes; cream, cheese | 3mentions ofyeastynotes; kiwi, tropical | 2mentions oftropicalnotes; pepper | 1mentions ofspicesnotes; hay | 1mentions ofvegetalnotes"
"14.0","Dominique Raimond","Château Montfollet Le Valentin Blaye Blanc","2022","France","Blaye","White wine","Blend","Sauvignon Blanc, Sémillon","4.0","216","12.99","20.0","","20.0","20.0","No Description Available","peach, pear, melon | 177mentions oftree fruitnotes; citrus, grapefruit, lem... | 122mentions ofcitrusnotes; oak, butter, vanilla | 105mentions ofoakynotes; minerals, honey, stone | 60mentions ofearthynotes; pineapple, passion frui... | 46mentions oftropicalnotes; gooseberry, straw, aspa... | 39mentions ofvegetalnotes; cream, oil, cheese | 24mentions ofyeastynotes; elderflower, orange blo... | 11mentions offloralnotes; mint, eucalyptus, licor... | 10mentions ofspicesnotes; nutty, toast, chestnut | 6mentions ofageingnotes; blackcurrant | 3mentions ofblack fruitnotes; raspberry, red fruit | 2mentions ofred fruitnotes","Beef, Veal, Poultry, Game","peach, pear, melon | 177mentions oftree fruitnotes; citrus, grapefruit, lem... | 122mentions ofcitrusnotes; oak, butter, vanilla | 105mentions ofoakynotes; minerals, honey, stone | 60mentions ofearthynotes; pineapple, passion frui... | 46mentions oftropicalnotes; gooseberry, straw, aspa... | 39mentions ofvegetalnotes; cream, oil, cheese | 24mentions ofyeastynotes; elderflower, orange blo... | 11mentions offloralnotes; mint, eucalyptus, licor... | 10mentions ofspicesnotes; nutty, toast, chestnut | 6mentions ofageingnotes; blackcurrant | 3mentions ofblack fruitnotes; raspberry, red fruit | 2mentions ofred fruitnotes"
"13.0","Louis Jadot","Pouilly-Fuissé","2023","France","Pouilly-Fuissé","White wine","Chardonnay","Chardonnay","4.0","85","34.99","20.0","","20.0","20.0","No Description Available","oak, butter, vanilla | 1589mentions ofoakynotes; apple, pear, green appl... | 1436mentions oftree fruitnotes; citrus, lemon, grapefru... | 1272mentions ofcitrusnotes; honey, minerals, stone | 784mentions ofearthynotes; cream, cheese, banana | 322mentions ofyeastynotes; almond, toast, hazelnut | 241mentions ofageingnotes; straw, chard, grass | 197mentions ofvegetalnotes; pineapple, tropical, ma... | 161mentions oftropicalnotes; honeysuckle, jasmine, o... | 84mentions offloralnotes; white pepper, pepper, s... | 40mentions ofspicesnotes; cherry, strawberry, ras... | 14mentions ofred fruitnotes; plum, blackberry, black... | 12mentions ofblack fruitnotes; dried apricot, raisin, ... | 9mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","oak, butter, vanilla | 1589mentions ofoakynotes; apple, pear, green appl... | 1436mentions oftree fruitnotes; citrus, lemon, grapefru... | 1272mentions ofcitrusnotes; honey, minerals, stone | 784mentions ofearthynotes; cream, cheese, banana | 322mentions ofyeastynotes; almond, toast, hazelnut | 241mentions ofageingnotes; straw, chard, grass | 197mentions ofvegetalnotes; pineapple, tropical, ma... | 161mentions oftropicalnotes; honeysuckle, jasmine, o... | 84mentions offloralnotes; white pepper, pepper, s... | 40mentions ofspicesnotes; cherry, strawberry, ras... | 14mentions ofred fruitnotes; plum, blackberry, black... | 12mentions ofblack fruitnotes; dried apricot, raisin, ... | 9mentions ofdried fruitnotes"
"14.0","Bodegas Valduero","Ribera del Duero Una Cepa I","2019","Spain","Ribera del Duero","Red wine","Tinto Fino","Tinto Fino","4.3","375","48.99","20.0","20.0","20.0","20.0","No Description Available","oak, vanilla, chocolate | 515mentions ofoakynotes; blackberry, plum, black... | 319mentions ofblack fruitnotes; leather, cocoa, earthy | 203mentions ofearthynotes; cherry, raspberry, red ... | 110mentions ofred fruitnotes; licorice, pepper, cinna... | 101mentions ofspicesnotes; violet, lavender, hibis... | 22mentions offloralnotes; prune, fig | 19mentions ofdried fruitnotes; toast, nutty, almond | 17mentions ofageingnotes; cream, cheese, yogurt | 17mentions ofyeastynotes; bell pepper, hay, green... | 7mentions ofvegetalnotes; grapefruit, tangerine, ... | 6mentions ofcitrusnotes; kiwi, bubblegum | 2mentions oftropicalnotes; apple | 1mentions oftree fruitnotes","Beef, Veal, Poultry, Game","oak, vanilla, chocolate | 515mentions ofoakynotes; blackberry, plum, black... | 319mentions ofblack fruitnotes; leather, cocoa, earthy | 203mentions ofearthynotes; cherry, raspberry, red ... | 110mentions ofred fruitnotes; licorice, pepper, cinna... | 101mentions ofspicesnotes; violet, lavender, hibis... | 22mentions offloralnotes; prune, fig | 19mentions ofdried fruitnotes; toast, nutty, almond | 17mentions ofageingnotes; cream, cheese, yogurt | 17mentions ofyeastynotes; bell pepper, hay, green... | 7mentions ofvegetalnotes; grapefruit, tangerine, ... | 6mentions ofcitrusnotes; kiwi, bubblegum | 2mentions oftropicalnotes; apple | 1mentions oftree fruitnotes"
"14.5","Venus la Universal","Dido La Solució Rosa","2021","Spain","Montsant","Rosé wine","Garnacha","Unknown Grape Types","4.1","275","29.83","20.0","","20.0","20.0","No Description Available","strawberry, cherry, wat... | 102mentions ofred fruitnotes; oak, vanilla, butter | 51mentions ofoakynotes; peach, apricot, apple | 41mentions oftree fruitnotes; orange, grapefruit, cit... | 40mentions ofcitrusnotes; minerals, honey, earthy | 29mentions ofearthynotes; pepper, aniseed, fennel | 14mentions ofspicesnotes; lychee, passion fruit, ... | 14mentions oftropicalnotes; toast, nutty, hazelnut | 8mentions ofageingnotes; cream, cheese, oil | 8mentions ofyeastynotes; plum, black cherry, bla... | 7mentions ofblack fruitnotes; orange blossom, honeysu... | 6mentions offloralnotes; tomato, rhubarb, bitter... | 5mentions ofvegetalnotes; dried apricot | 1mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","strawberry, cherry, wat... | 102mentions ofred fruitnotes; oak, vanilla, butter | 51mentions ofoakynotes; peach, apricot, apple | 41mentions oftree fruitnotes; orange, grapefruit, cit... | 40mentions ofcitrusnotes; minerals, honey, earthy | 29mentions ofearthynotes; pepper, aniseed, fennel | 14mentions ofspicesnotes; lychee, passion fruit, ... | 14mentions oftropicalnotes; toast, nutty, hazelnut | 8mentions ofageingnotes; cream, cheese, oil | 8mentions ofyeastynotes; plum, black cherry, bla... | 7mentions ofblack fruitnotes; orange blossom, honeysu... | 6mentions offloralnotes; tomato, rhubarb, bitter... | 5mentions ofvegetalnotes; dried apricot | 1mentions ofdried fruitnotes"
"14.5","Venus la Universal","Dido La Solució Rosa","2022","Spain","Montsant","Rosé wine","Blend","Tempranillo, Macabeo, Cariñena, Garnacha, Garnacha Blanca","4.1","93","29.83","20.0","","20.0","20.0","No Description Available","strawberry, cherry, wat... | 102mentions ofred fruitnotes; oak, vanilla, butter | 51mentions ofoakynotes; peach, apricot, apple | 41mentions oftree fruitnotes; orange, grapefruit, cit... | 40mentions ofcitrusnotes; minerals, honey, earthy | 29mentions ofearthynotes; pepper, aniseed, fennel | 14mentions ofspicesnotes; lychee, passion fruit, ... | 14mentions oftropicalnotes; toast, nutty, hazelnut | 8mentions ofageingnotes; cream, cheese, oil | 8mentions ofyeastynotes; plum, black cherry, bla... | 7mentions ofblack fruitnotes; orange blossom, honeysu... | 6mentions offloralnotes; tomato, rhubarb, bitter... | 5mentions ofvegetalnotes; dried apricot | 1mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","strawberry, cherry, wat... | 102mentions ofred fruitnotes; oak, vanilla, butter | 51mentions ofoakynotes; peach, apricot, apple | 41mentions oftree fruitnotes; orange, grapefruit, cit... | 40mentions ofcitrusnotes; minerals, honey, earthy | 29mentions ofearthynotes; pepper, aniseed, fennel | 14mentions ofspicesnotes; lychee, passion fruit, ... | 14mentions oftropicalnotes; toast, nutty, hazelnut | 8mentions ofageingnotes; cream, cheese, oil | 8mentions ofyeastynotes; plum, black cherry, bla... | 7mentions ofblack fruitnotes; orange blossom, honeysu... | 6mentions offloralnotes; tomato, rhubarb, bitter... | 5mentions ofvegetalnotes; dried apricot | 1mentions ofdried fruitnotes"
"14.0","Parés Baltà","Syrah Radix Rosé","2021","Spain","Penedès","Rosé wine","Shiraz/Syrah","Shiraz/Syrah","4.1","71","45.0","20.0","","20.0","20.0","No Description Available","raspberry, strawberry, ... | 41mentions ofred fruitnotes; blackberry, black fruit... | 7mentions ofblack fruitnotes; oak, vanilla, pastry | 5mentions ofoakynotes; minerals, earthy | 4mentions ofearthynotes; pepper, cinnamon | 3mentions ofspicesnotes; cheese, cream | 2mentions ofyeastynotes","Beef, Veal, Poultry, Game","raspberry, strawberry, ... | 41mentions ofred fruitnotes; blackberry, black fruit... | 7mentions ofblack fruitnotes; oak, vanilla, pastry | 5mentions ofoakynotes; minerals, earthy | 4mentions ofearthynotes; pepper, cinnamon | 3mentions ofspicesnotes; cheese, cream | 2mentions ofyeastynotes"
"14.0","Mas Candi","Con Barbas Y A Lo Loco","2022","Spain","Penedès","Rosé wine","Blend","Xarel-lo, Sumoll","4.1","0","30.44","20.0","","20.0","20.0","No Description Available","earthy, minerals, stone | 6mentions ofearthynotes; strawberry, cherry | 3mentions ofred fruitnotes; orange, lime zest | 3mentions ofcitrusnotes; blackberry | 1mentions ofblack fruitnotes; apple | 1mentions oftree fruitnotes; yeast | 1mentions ofyeastynotes; oak | 1mentions ofoakynotes","Beef, Veal, Poultry, Game","earthy, minerals, stone | 6mentions ofearthynotes; strawberry, cherry | 3mentions ofred fruitnotes; orange, lime zest | 3mentions ofcitrusnotes; blackberry | 1mentions ofblack fruitnotes; apple | 1mentions oftree fruitnotes; yeast | 1mentions ofyeastynotes; oak | 1mentions ofoakynotes"
"14.0","Jose Luis Ripa","Rosado","2019","Spain","Rioja","Rosé wine","Blend","Garnacha, Tempranillo","4.0","94","35.7","20.0","","20.0","20.0","No Description Available","watermelon, strawberry,... | 43mentions ofred fruitnotes; citrus, orange, blood o... | 22mentions ofcitrusnotes; oak, vanilla, caramel | 18mentions ofoakynotes; peach, melon, apple | 14mentions oftree fruitnotes; honey, salt, beeswax | 9mentions ofearthynotes; nutty, marzipan, almond | 7mentions ofageingnotes; cream, oil, cheese | 7mentions ofyeastynotes; white pepper, licorice,... | 5mentions ofspicesnotes; dried rose, rose petal,... | 3mentions offloralnotes; dried apricot, dried cr... | 2mentions ofdried fruitnotes; bitter almond | 1mentions ofvegetalnotes; plum | 1mentions ofblack fruitnotes","Beef, Veal, Poultry, Game","watermelon, strawberry,... | 43mentions ofred fruitnotes; citrus, orange, blood o... | 22mentions ofcitrusnotes; oak, vanilla, caramel | 18mentions ofoakynotes; peach, melon, apple | 14mentions oftree fruitnotes; honey, salt, beeswax | 9mentions ofearthynotes; nutty, marzipan, almond | 7mentions ofageingnotes; cream, oil, cheese | 7mentions ofyeastynotes; white pepper, licorice,... | 5mentions ofspicesnotes; dried rose, rose petal,... | 3mentions offloralnotes; dried apricot, dried cr... | 2mentions ofdried fruitnotes; bitter almond | 1mentions ofvegetalnotes; plum | 1mentions ofblack fruitnotes"
"14.0","Bodegas Muga","Flor de Muga Rosado","2023","Spain","Rioja","Rosé wine","Garnacha","Garnacha","4.0","46","42.5","20.0","","20.0","20.0","No Description Available","strawberry, raspberry, ... | 131mentions ofred fruitnotes; peach, pear, apricot | 74mentions oftree fruitnotes; citrus, orange, lemon | 53mentions ofcitrusnotes; minerals, stone, smoke | 45mentions ofearthynotes; oak, vanilla, butter | 31mentions ofoakynotes; cream, cheese, banana | 23mentions ofyeastynotes; white pepper, cinnamon,... | 12mentions ofspicesnotes; rose petal, perfume, ac... | 9mentions offloralnotes; pineapple, tropical | 7mentions oftropicalnotes; biscuit, peanut, roaste... | 5mentions ofageingnotes; plum, sour plum, black ... | 5mentions ofblack fruitnotes; tomato, rhubarb, grass | 4mentions ofvegetalnotes; dried apricot | 1mentions ofdried fruitnotes","Beef, Veal, Poultry, Game","strawberry, raspberry, ... | 131mentions ofred fruitnotes; peach, pear, apricot | 74mentions oftree fruitnotes; citrus, orange, lemon | 53mentions ofcitrusnotes; minerals, stone, smoke | 45mentions ofearthynotes; oak, vanilla, butter | 31mentions ofoakynotes; cream, cheese, banana | 23mentions ofyeastynotes; white pepper, cinnamon,... | 12mentions ofspicesnotes; rose petal, perfume, ac... | 9mentions offloralnotes; pineapple, tropical | 7mentions oftropicalnotes; biscuit, peanut, roaste... | 5mentions ofageingnotes; plum, sour plum, black ... | 5mentions ofblack fruitnotes; tomato, rhubarb, grass | 4mentions ofvegetalnotes; dried apricot | 1mentions ofdried fruitnotes"
"14.0","Zudugarai","Antxiola Rosé","2023","Spain","Getariako Txakolina","Rosé wine","Hondarrabi Zuri","Hondarrabi Zuri","4.0","0","0.0","20.0","","20.0","20.0","No Description Available","strawberry, raspberry, ... | 23mentions ofred fruitnotes; minerals, smoke, salt | 15mentions ofearthynotes; lemon, lime, grapefruit | 11mentions ofcitrusnotes; green apple, apricot, s... | 7mentions oftree fruitnotes; mango, tropical, pineap... | 3mentions oftropicalnotes; yeast, cream | 2mentions ofyeastynotes; blueberry | 1mentions ofblack fruitnotes; pepper | 1mentions ofspicesnotes; honeysuckle | 1mentions offloralnotes","Beef, Veal, Poultry, Game","strawberry, raspberry, ... | 23mentions ofred fruitnotes; minerals, smoke, salt | 15mentions ofearthynotes; lemon, lime, grapefruit | 11mentions ofcitrusnotes; green apple, apricot, s... | 7mentions oftree fruitnotes; mango, tropical, pineap... | 3mentions oftropicalnotes; yeast, cream | 2mentions ofyeastynotes; blueberry | 1mentions ofblack fruitnotes; pepper | 1mentions ofspicesnotes; honeysuckle | 1mentions offloralnotes"
